LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO,VALOR_HORA,VALOR_DURACION,outlier
62,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:45.428,2020-11-25 12:40:44,SELECT,8.591,OK,0.06722285878031586,0.8785151856017998,1
137,prueba,karen,192.168.1.79,10082,2020-11-25,12:58:37.826,2020-11-25 12:58:37,SELECT,6.494,OK,0.09701166646217607,0.664076081398916,1
169,prueba,karen,192.168.1.79,10012,2020-11-25,13:13:10.847,2020-11-25 13:13:10,SELECT,6.676,OK,0.12126222891308047,0.6826873913488087,1
173,prueba,karen,192.168.1.79,10015,2020-11-25,13:15:11.498,2020-11-25 13:15:11,SELECT,5.465,OK,0.12461364269380759,0.558850598220677,1
178,prueba,karen,192.168.1.79,10016,2020-11-25,13:17:11.711,2020-11-25 13:17:11,SELECT,5.707,OK,0.12795288981834485,0.5835975048573474,1
182,prueba,karen,192.168.1.79,10016,2020-11-25,13:19:11.915,2020-11-25 13:29:11,SELECT,8.539,OK,0.13129188694309724,0.8731976684732591,1
220,prueba,karen,192.168.1.79,10025,2020-11-25,13:38:13.513,2020-11-25 13:38:13,SELECT,3.893,OK,0.1630029151919341,0.3980979650270989,1
245,prueba,karen,192.168.1.79,10169,2020-11-25,13:51:19.719,2020-11-25 13:51:18,INSERT,3.894,OK,0.18484195194165243,0.39820022497187857,1
266,prueba,karen,192.168.1.79,10173,2020-11-25,14:01:20.601,2020-11-25 14:01:20,SELECT,7.82,OK,0.2015331042353823,0.7996727681767053,1
272,prueba,karen,192.168.1.79,10169,2020-11-25,14:03:19.230,2020-11-25 14:03:18,INSERT,7.047,OK,0.20482835139780842,0.7206258308620513,1
358,prueba,karen,192.168.1.79,11440,2020-11-25,14:39:29.280,2020-11-25 14:39:29,SELECT,7.53,OK,0.2651074661574597,0.7700173841906126,1
362,prueba,karen,192.168.1.79,11443,2020-11-25,14:41:29.857,2020-11-25 14:41:29,SELECT,7.801,OK,0.2684568243844012,0.7977298292258923,1
371,prueba,karen,192.168.1.79,11444,2020-11-25,14:45:30.275,2020-11-25 14:45:29,SELECT,9.779,OK,0.27513509641144474,1.0,1
464,prueba,karen,192.168.1.79,80813,2020-11-25,15:37:55.608,2020-11-25 15:37:55,SELECT,5.075,OK,0.36250538228703166,0.5189692197566214,1
513,prueba,gabriela,192.168.1.79,11440,2020-11-25,17:32:29.280,2020-11-25 17:32:29,SELECT,7.53,OK,0.5534405512039697,0.7700173841906126,1
517,prueba,gabriela,192.168.1.79,11443,2020-11-25,17:34:29.857,2020-11-25 17:34:29,SELECT,7.801,OK,0.5567899094309112,0.7977298292258923,1
522,prueba,gabriela,192.168.1.79,11444,2020-11-25,17:36:30.069,2020-11-25 17:36:29,SELECT,4.642,OK,0.5601291287776946,0.47469066366704166,1
526,prueba,gabriela,192.168.1.79,11444,2020-11-25,17:37:30.275,2020-11-25 17:37:29,SELECT,9.779,OK,0.561801516226472,1.0,1
544,prueba,gabriela,192.168.1.79,11627,2020-11-25,17:43:04.613,2020-11-25 17:43:04,SELECT,7.076,OK,0.5710886748958632,0.7235913692606606,1
612,prueba,gabriela,192.168.1.79,13931,2020-11-25,18:00:21.062,2020-11-25 18:00:20,SELECT,6.261,OK,0.5998789001042804,0.6402495142652623,1
628,prueba,cesar,192.168.1.79,13940,2020-11-25,19:00:25.434,2020-11-25 19:00:25,SET,0.216,OK,0.7000002583331109,0.022088148072400043,1
629,prueba,gabriela,192.168.1.79,13940,2020-11-25,19:00:25.434,2020-11-25 19:00:25,SET,0.216,OK,0.7000002583331109,0.022088148072400043,1
630,prueba,cesar,192.168.1.79,13940,2020-11-25,20:00:25.434,2020-11-25 20:00:25,SET,0.216,OK,0.8000001722220738,0.022088148072400043,1
631,prueba,gabriela,192.168.1.79,13940,2020-11-25,20:00:25.434,2020-11-25 20:00:25,SET,0.216,OK,0.8000001722220738,0.022088148072400043,1
632,prueba,cesar,192.168.1.79,13940,2020-11-25,22:00:25.434,2020-11-25 22:00:25,SET,0.216,OK,1.0,0.022088148072400043,1
633,prueba,gabriela,192.168.1.79,13940,2020-11-25,22:00:25.434,2020-11-25 22:00:25,SET,0.216,OK,1.0,0.022088148072400043,1
